"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"
"08/07/2015"	"07:57:20"	"-29.345867"	"00.916800"	"4"	"0.0"	""	"4"	"3.4"	"180"	"2288"
"08/07/2015"	"07:57:21"	"-29.345865"	"00.916798"	"4"	"0.0"	""	"4"	"3.4"	"179"	"2310"
"08/07/2015"	"07:57:23"	"-29.345872"	"00.916798"	"4"	"0.0"	""	"4"	"3.4"	"177"	"2326"
"08/07/2015"	"07:57:24"	"-29.345877"	"00.916800"	"4"	"0.0"	""	"4"	"3.4"	"177"	"2336"
"08/07/2015"	"07:57:25"	"-29.345875"	"00.916795"	"2"	"0.0"	""	"4"	"3.4"	"183"	"2346"
"08/07/2015"	"07:57:26"	"-29.345872"	"00.916792"	"4"	"0.0"	""	"4"	"3.4"	"172"	"2356"
"08/07/2015"	"07:57:27"	"-29.345872"	"00.916793"	"4"	"0.0"	""	"4"	"3.4"	"167"	"2366"
"08/07/2015"	"07:57:28"	"-29.345870"	"00.916792"	"4"	"0.0"	""	"4"	"3.4"	"172"	"2376"
"08/07/2015"	"07:57:29"	"-29.345867"	"00.916790"	"4"	"0.0"	""	"4"	"3.4"	"173"	"2386"
"08/07/2015"	"07:57:30"	"-29.345863"	"00.916790"	"4"	"0.0"	""	"4"	"3.4"	"173"	"2396"
"08/07/2015"	"07:57:31"	"-29.345863"	"00.916790"	"4"	"0.0"	""	"4"	"3.4"	"174"	"2406"
"08/07/2015"	"07:57:33"	"-29.345863"	"00.916792"	"4"	"0.0"	""	"4"	"3.4"	"175"	"2434"
"08/07/2015"	"07:57:34"	"-29.345863"	"00.916793"	"4"	"0.0"	""	"4"	"3.4"	"176"	"2444"
"08/07/2015"	"07:57:35"	"-29.345862"	"00.916795"	"4"	"0.0"	""	"4"	"3.4"	"175"	"2454"
"08/07/2015"	"07:57:36"	"-29.345860"	"00.916797"	"4"	"0.0"	""	"4"	"3.4"	"175"	"2464"
"08/07/2015"	"07:57:38"	"-29.345857"	"00.916793"	"4"	"0.0"	""	"4"	"3.4"	"177"	"2480"
"08/07/2015"	"07:57:39"	"-29.345858"	"00.916793"	"4"	"0.0"	""	"4"	"3.4"	"178"	"2490"
"08/07/2015"	"07:57:40"	"-29.345857"	"00.916793"	"4"	"0.0"	""	"4"	"3.4"	"178"	"2500"
"08/07/2015"	"07:57:41"	"-29.345857"	"00.916792"	"4"	"0.0"	""	"4"	"3.4"	"178"	"2510"
"08/07/2015"	"07:57:42"	"-29.345858"	"00.916790"	"4"	"0.0"	""	"4"	"3.4"	"180"	"2520"
"08/07/2015"	"07:57:43"	"-29.345857"	"00.916787"	"4"	"0.0"	""	"4"	"3.4"	"180"	"2538"
"08/07/2015"	"07:57:45"	"-29.345860"	"00.916787"	"4"	"0.0"	""	"4"	"3.4"	"178"	"2566"
"08/07/2015"	"07:57:46"	"-29.345862"	"00.916785"	"4"	"0.0"	""	"4"	"3.4"	"177"	"2576"
"08/07/2015"	"07:57:47"	"-29.345862"	"00.916787"	"4"	"0.0"	""	"4"	"3.4"	"177"	"2586"
"08/07/2015"	"07:57:49"	"-29.345862"	"00.916792"	"4"	"0.0"	""	"4"	"3.4"	"180"	"2602"
"08/07/2015"	"07:57:54"	"-29.345852"	"00.916792"	"4"	"0.0"	""	"4"	"3.4"	"201"	"2636"
"08/07/2015"	"07:57:55"	"-29.345852"	"00.916792"	"4"	"0.0"	""	"4"	"3.4"	"201"	"2646"
"08/07/2015"	"07:57:56"	"-29.345852"	"00.916792"	"4"	"0.0"	""	"4"	"3.4"	"201"	"2656"
